front,back,hint,publishedAt
"der Sack","the sack, the bag (refers to a flexible container made of fabric, paper, or plastic, typically used for carrying or storing items)","Bitte bring mir den Sack mit dem Reis.\nDer Hund hat den alten Sack zerfetzt.\nIch habe einen Sack Kartoffeln gekauft.\n(die Säcke)","2025-09-30T22:43:15.134Z"
"der Verlag","the publisher","Der Verlag organisiert eine Lesung mit dem Autor.\nIch habe einen Vertrag mit einem großen Verlag unterschrieben.\nDer Verlag hat viele neue Bücher veröffentlicht.","2025-10-31T18:03:01.406Z"
"Klimaanlage","Air conditioning","Im Sommer ist die Klimaanlage sehr wichtig, um die Hitze zu ertragen.","2025-08-17T17:22:10.218Z"
"die Reduktion","the reduction (the act of making something smaller or less in amount, degree, or size)","Die Reduktion des Zuckergehalts in Lebensmitteln ist gesund.\nWir haben eine Reduktion der Arbeitsstunden beschlossen.\nDie Reduktion der Kosten ist für das Unternehmen wichtig.","2025-09-29T22:48:53.273Z"
"staatlich","state, governmental (used to describe something that is related to the state or government, such as institutions, regulations, or services)","Die staatlichen Fördermittel helfen vielen kleinen Unternehmen.\nEr arbeitet in einer staatlichen Behörde.\nDie staatliche Schule bietet kostenlose Bildung für alle Kinder.","2025-11-09T23:39:07.559Z"
"den Beitrag leisten","to make a contribution","Wir können alle unseren Beitrag zur Teamarbeit leisten, indem wir gut zusammenarbeiten.\nIch möchte gerne meinen Beitrag zur Umweltbewegung leisten.\nAuch du musst deinen Beitrag zu unserem Campingurlaub leisten.","2025-09-29T22:59:42.014Z"
"die Begebenheit","the event, the incident (used to describe a specific occurrence or happening)","Die Begebenheit hat sich vor vielen Jahren zugetragen.\nIn dem Buch werden verschiedene Begebenheiten aus dem Leben des Autors beschrieben.\nIch möchte dir von einer interessanten Begebenheit erzählen.\n(die Begebenheiten)","2025-11-09T23:39:06.907Z"
"locken","to lure, to entice, to curl","Er versucht, sie mit seinen Worten zu locken.\nDer Duft des Kuchens lockt die Kinder in die Küche.\nSie hat ihre Haare mit einem Lockenstab gelockt.","2025-09-16T23:00:26.119Z"
"anhaltend","persistent (describes something that lasts for a long time or does not stop easily)","Die anhaltende Diskussion führte zu keiner Einigung.\nEr leidet unter anhaltenden Kopfschmerzen.\nDie anhaltende Dürre hat die Ernte stark beeinträchtigt.","2025-09-17T21:28:04.198Z"
"schleifen","to polish, to sharpen, to drag (can refer to physical actions, like sharpening a knife, or metaphorical actions, like dragging out a conversation)","Wir müssen den Text noch einmal schleifen, bevor wir ihn veröffentlichen.\nEr schleift seine Werkzeuge regelmäßig.\nIch muss meine Messer schleifen.\nEr schleift die Kette über den Boden.\nDie Zeit schleift sich dahin.","2025-08-19T13:14:50.543Z"
"normalerweise","usually, normally (used to describe something that happens most of the time or in typical situations)","Normalerweise regnet es im April oft.\nNormalerweise essen wir am Sonntag zusammen zu Abend.\nNormalerweise gehe ich um 8 Uhr zur Schule.","2025-08-19T13:14:53.533Z"
"die Anschuldigung","the accusation","Die Anschuldigung gegen ihn erwies sich als falsch.\nSie wies die Anschuldigungen gegen sie zurück.\nEr wurde der Anschuldigung des Diebstahls beschuldigt.","2025-09-30T22:43:15.785Z"
"die Mission","the mission","Er wurde auf eine geheime Mission geschickt.\nDie Gruppe hat eine Mission, um die Umwelt zu schützen.\nDie Mission des Unternehmens ist es, nachhaltige Produkte zu entwickeln.\n(die Missionen)","2025-09-16T23:00:28.273Z"
"Siezen","Use the formal term of address","Guten Tag, wie kann ich Ihnen helfen?","2025-03-16T23:05:33.432Z"
"eine Absprache treffen","come to an arrangement (commonly used when two or more parties discuss and agree on certain terms or conditions)","Die beiden Parteien haben eine Absprache getroffen, um den Konflikt zu lösen.\nWir müssen eine Absprache treffen, bevor wir mit dem Projekt beginnen.\nIch habe eine Absprache mit meinem Chef getroffen, um meine Arbeitszeiten zu ändern.","2025-09-09T20:37:35.644Z"
"neu starten","restart, reboot","Manchmal ist es gut, im Leben neu zu starten und neue Wege zu gehen.\nNach dem Fehler haben wir beschlossen, das Projekt neu zu starten.\nIch muss meinen Computer neu starten, damit die Updates installiert werden.","2025-09-09T20:37:35.927Z"
"Hoffnungslosigkeit","Hopelessness","Hoffnungslosigkeit und Traurigkeit breiten sich aus.","2025-08-17T16:32:05.087Z"
"die Galerie","the gallery (refers to a space or room where art is displayed, such as paintings or sculptures)","In der Galerie findet regelmäßig ein Kunstmarkt statt.\nDie Galerie hat viele beeindruckende Gemälde von berühmten Künstlern.\nIch gehe heute in die Galerie, um die neue Ausstellung zu sehen.","2025-09-03T22:15:54.624Z"
"Untergangsstimmung","Doom and gloom","Untergangsstimmung,","2025-08-17T16:32:00.460Z"
"verurteilen","to judge, to sentence, to condemn (used in legal contexts but can also refer to expressing strong disapproval of someone's actions or behavior)","Es ist nicht fair, jemanden ohne Beweise zu verurteilen.\nViele Menschen verurteilen Gewalt in jeglicher Form.\nDer Richter verurteilte den Angeklagten zu einer Gefängnisstrafe.","2025-11-01T11:29:05.841Z"
"sehnen","(ref.) to long for, to yearn for, to crave (expresses a strong desire or longing for something or someone that is often out of reach or absent)","Wir sehnen uns nach Frieden und Harmonie.\nEr sehnt sich nach seiner Heimat.\nIch sehne mich nach den warmen Tagen im Sommer.","2025-11-09T23:39:07.234Z"
"schwul","Gay","Er ist schwul und stolz darauf.","2025-05-20T14:12:02.395Z"
"Aus Dingen, die eins waren, wurden viele.","Things that were one became many.","","2025-08-17T16:33:52.379Z"
"die Kundschaft","the clientele, the customer base","Die Kundschaft hat neue Produkte angefragt.\nWir haben viele zufriedene Kunden in unserer Kundschaft.\nDie Kundschaft erwartet einen hohen Service.","2025-10-31T18:03:01.624Z"
"gestehen","to confess, to admit (used when someone acknowledges something, often something they did wrong or a secret they have kept)","Ich gestehe, dass ich einen Fehler gemacht habe.\nSie gesteht, dass sie gelogen hat.\nEr gesteht seine Schuld.","2025-09-20T12:20:02.429Z"
"parat","ready (used to describe something that is available or on hand for immediate use)","Die Werkzeuge sind immer parat, wenn ich sie brauche.\nSei bitte parat, wenn ich ankomme.\nIch habe die Unterlagen parat.","2025-08-18T22:33:47.023Z"
"der Abbau","the reduction, the dismantling, the mining (the decrease or removal of something, such as resources, structures, or systems)","Im Rahmen des Projekts wird der Abbau von alten Gebäuden geplant.\nDer Abbau von Stress ist wichtig für die Gesundheit.\nDer Abbau von Kohle hat viele Auswirkungen auf die Umwelt.","2025-09-29T22:48:53.106Z"
"annähern","to approach, to get closer (can refer to both physical proximity and metaphorical closeness, such as in relationships or ideas)","Ich möchte mich dir annähern und mehr über dich erfahren.\nWir sollten uns dem Thema in der nächsten Sitzung annähern.\nWir müssen uns dem Problem annähern.","2025-09-17T21:28:02.750Z"
"das eine oder andere","one or two","Es gibt das eine oder andere Problem, das wir lösen müssen.\nWir könnten das eine oder andere Restaurant ausprobieren, wenn du möchtest.\nIch habe das eine oder andere Buch gelesen, das mir sehr gefallen hat.","2025-09-30T22:43:14.539Z"
"das Urteil","the judgment, the verdict","Das Urteil der Jury war einstimmig.\nSie hat ein positives Urteil über den neuen Film gefällt.\nDas Urteil des Gerichts war überraschend.\n(die Urteile)","2025-11-01T11:29:06.355Z"
"die Sicherheitsverletzung","the security breach","Wenn die Vorsichtsmaßnahmen aktualisiert worden wären, wäre die Sicherheitsverletzung verhindert worden.","2025-09-09T20:37:36.680Z"
"der Wikinger","the Viking","Der Wikinger segelte über das Meer.\nDie Wikinger waren bekannt für ihre Entdeckungsreisen.\nIn der Geschichte spielt ein Wikinger die Hauptrolle.\n(die Wikinger)","2025-09-30T22:48:57.602Z"
"die Feinheit","the intricacy, subtlety, delicacy (can describe physical attributes, such as a fine fabric, or abstract concepts, like the subtlety of an argument)","Die Feinheit der Zutaten macht das Gericht besonders lecker.\nEr sprach mit einer Feinheit, die die Zuhörer fesselte.\nDie Feinheit des Gemäldes beeindruckte alle Besucher.\n(die Feinheiten)","2025-09-03T22:16:14.813Z"
"knuddeln","to cuddle or someone affectionately (conveys a sense of warmth and tenderness, often used in a playful or loving context)","Nach dem langen Tag knuddeln wir uns auf dem Sofa.\nDie Kinder knuddeln ihren Hund, wenn sie nach Hause kommen.\nIch möchte dich knuddeln, weil ich dich so lieb habe.","2025-08-18T22:34:58.287Z"
"allmählich","gradually","Die Temperaturen steigen allmählich.","2025-05-24T08:51:22.509Z"
"aufwändigen","elaborate","Die aufwändige Dekoration für die Hochzeit hat viel Zeit in Anspruch genommen.","2025-08-17T20:10:18.725Z"
"abfahren","to depart (typically used in the context of transportation, such as trains, buses, or cars)","Wann fährt das Flugzeug ab?\nWir müssen jetzt abfahren, sonst verpassen wir den Bus.\nDer Zug fährt um 10 Uhr ab.","2025-09-17T21:28:03.071Z"
"unbefriedigend","unsatisfactory (used to describe something that does not meet expectations or is not good enough)","Die Ergebnisse der Umfrage waren unbefriedigend und zeigen Verbesserungsbedarf.\nDas Essen im Restaurant war unbefriedigend und hat nicht geschmeckt.\nDie Note in Mathe war unbefriedigend.","2025-09-03T22:16:03.584Z"
"primär","primary, main","Die primäre Quelle für diese Informationen ist ein Fachbuch.\nWir müssen uns auf die primären Ziele des Projekts konzentrieren.\nDie primäre Aufgabe der Schule ist es, Wissen zu vermitteln.","2025-09-05T22:59:19.498Z"
"der Stoff","the fabric, the material, the substance","Der Lehrer hat uns den neuen Stoff gut erklärt.\nWir haben im Unterricht über den Stoff der letzten Woche gesprochen.\nDer Stoff für das Kleid ist sehr weich.","2025-09-05T22:59:22.180Z"
"verloren","lost","Die verlorene Zeit kann man nicht zurückbekommen.\nEr fühlt sich verloren in der großen Stadt.\nIch habe meine Schlüssel verloren.","2025-08-19T13:14:52.452Z"
"wohlhabend","wealthy","dem Höhepunkt unserer Spezies - noch nie waren so viele so gesund und wohlhabend.","2025-08-17T16:31:25.852Z"
"die Sauce","the sauce","Wir essen den Salat mit einer frischen Joghurt-Sauce.\nDie Sauce ist zu salzig, ich muss etwas Wasser hinzufügen.\nIch habe eine leckere Sauce für die Spaghetti gemacht.\n(die Saucen)","2025-09-16T23:00:26.831Z"
"zutragen","(formal) (dat.) to carry to, to deliver to, to bring to (used where something is being brought to someone, whether it be an object or information)","Ich werde die Nachricht dir zutragen.\nKannst du mir das bitte zutragen?\nEr hat mir ein Geschenk zutragen lassen.","2025-11-09T23:39:06.240Z"
"Auskotzen","Vomit","","2025-07-19T16:08:34.224Z"
"arbeitskräfte","labour force","Die Firma sucht neue Arbeitskräfte für die Produktion.","2025-05-19T08:59:40.439Z"
"sättigen","to satisfy, to satiate (often used in the context of hunger, indicating that someone has eaten enough food to feel full)","Die Informationen in diesem Buch sättigen meinen Wissensdurst.\nDie Suppe sättigt gut und ist sehr nahrhaft.\nNach dem großen Abendessen fühlte ich mich vollkommen gesättigt.","2025-09-29T22:59:43.041Z"
"die Vernachlässigung","the neglect, negligence (refers to the act of failing to care for someone or something properly)","Die Vernachlässigung der Hausaufgaben führte zu schlechten Noten.\nDie Vernachlässigung der Sicherheitsvorschriften kann zu Unfällen führen.\nDie Vernachlässigung der Pflanzen führte zu ihrem Tod.","2025-11-01T11:29:06.539Z"
"das Kunstwerk","the artwork","Das Kunstwerk wurde von einem talentierten Künstler geschaffen.\nViele Menschen bewundern das neue Kunstwerk des berühmten Malers.\nDas Kunstwerk hängt in der Galerie.","2025-08-19T13:14:55.166Z"
"ausgepowert","exhausted","Nach dem Marathon war ich völlig ausgepowert.\nNach der Prüfung fühlte ich mich total ausgepowert.\nNach dem Streit war ich emotional ausgepowert.","2025-09-29T22:59:43.212Z"
"erwischt","caught","Er hat mich erwischt, als ich das Geheimnis verraten wollte.\nSie wurde beim Schummeln in der Prüfung erwischt.\nIch habe ihn beim Stehlen erwischt.","2025-08-19T13:14:51.805Z"
"das Tempo","the tempo, the speed, the pace","Im Training haben wir das Tempo der Übungen angepasst.\nWir müssen das Tempo erhöhen, um rechtzeitig anzukommen.\nDas Tempo des Liedes ist sehr schnell.","2025-09-08T21:01:10.653Z"
"sich vergnügen","to enjoy oneself, to have fun","Die Kinder vergnügen sich im Freizeitpark.\nWir haben uns beim Tanzen vergnügt.\nIch habe mich sehr vergnügt auf der Party gestern Abend.","2025-09-29T22:59:42.697Z"
"die Skulptur","the sculpture","Die Skulptur wurde von einem berühmten Bildhauer entworfen.\nDer Künstler hat eine Skulptur aus Ton geschaffen.\nDie Skulptur steht im Park.","2025-09-30T22:48:58.643Z"
"abbestellen","means to cancel or to unsubscribe from something, such as a service, subscription, or order","Er hat entschieden, seine Mitgliedschaft im Fitnessstudio abzubestellen.\nKann ich die Bestellung für das neue Buch abbestellen?\nIch möchte mein Zeitungsabonnement abbestellen.","2025-10-31T18:02:59.899Z"
"die Qual","the agony, the ordeal, the torture (a state of intense suffering or distress, often used to describe emotional or physical pain)","Die Prüfung war eine echte Qual für die Schüler.\nEr litt in der Qual, als er die traurige Nachricht hörte.\nDie Qual des Wartens war unerträglich.","2025-11-09T23:39:09.322Z"
"das Protein","the protein","Die Forschung zeigt, dass Protein eine wichtige Rolle bei der Regeneration nach dem Sport spielt.\nFisch und Hülsenfrüchte sind gute Quellen für pflanzliches Protein.\nUm Muskeln aufzubauen, ist es wichtig, genügend Protein zu konsumieren.","2025-09-29T22:48:53.784Z"
"die Dürre","the drought","Die Dürre führt dazu, dass die Wasserreserven schnell schwinden.\nIn diesem Jahr leiden viele Länder unter extremer Dürre.\nDie Dürre hat die Ernte in vielen Regionen stark beeinträchtigt.","2025-09-20T12:20:01.991Z"
"hinunter","down, downwards (often used to describe movement from a higher place to a lower place)","Wir müssen hinunter ins Tal wandern.\nDie Katze sprang hinunter vom Tisch.\nEr ging die Treppe hinunter.","2025-09-16T23:00:25.814Z"
"das Abkommen","the agreement, the treaty","Das Abkommen zwischen den Arbeitgebern und Arbeitnehmern wurde nach langen Verhandlungen erreicht.\nWir haben ein Abkommen getroffen, dass wir uns gegenseitig helfen werden.\nDas Abkommen zwischen Deutschland und Frankreich wurde unterzeichnet.","2025-09-08T21:01:12.422Z"
"die Verordnung","the ordinance, the regulation (refers to a rule or directive made and maintained by an authority, often related to laws or official guidelines)","Die Verordnung legt fest, welche Dokumente für die Bewerbung benötigt werden.\nDie Verordnung regelt die Höchstgeschwindigkeit auf Autobahnen.\nDie Verordnung verbietet das Rauchen in öffentlichen Gebäuden.","2025-09-29T22:48:52.832Z"
